,MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
0,1,1,ESL One Birmingham  2019,TNC Predator,dire,24.0,WIN,28:06,Wraith King,Sniper,Leshrac,Sand King,Chen
1,1,1,ESL One Birmingham  2019,Newbee,radiant,11.0,LOSE,28:06,Lifestealer,Oracle,Death Prophet,Lina,Mars
2,1,2,ESL One Birmingham  2019,TNC Predator,dire,11.0,LOSE,46:02,Templar Assassin,Terrorblade,Dark Seer,Tusk,Chen
3,1,2,ESL One Birmingham  2019,Newbee,radiant,35.0,WIN,46:02,Monkey King,Anti-Mage,Winter Wyvern,Jakiro,Sand King
4,2,1,ESL One Birmingham  2019,TNC Predator,radiant,33.0,WIN,22:07,Alchemist,Venomancer,Ember Spirit,Ancient Apparition,Earthshaker
5,2,1,ESL One Birmingham  2019,OG,dire,11.0,LOSE,22:07,Nature's Prophet,Spectre,Earth Spirit,Treant Protector,Crystal Maiden
6,2,2,ESL One Birmingham  2019,TNC Predator,radiant,17.0,LOSE,31:36,Templar Assassin,Leshrac,Wraith King,Witch Doctor,Sand King
7,2,2,ESL One Birmingham  2019,OG,dire,27.0,WIN,31:36,Pangolier,Grimstroke,Juggernaut,Beastmaster,Warlock
8,3,1,ESL One Birmingham  2019,TNC Predator,radiant,39.0,WIN,44:18,Queen of Pain,Sven,Warlock,Batrider,Sand King
9,3,1,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,19.0,LOSE,44:18,Ember Spirit,Anti-Mage,Abaddon,Beastmaster,Zeus
10,3,2,ESL One Birmingham  2019,TNC Predator,radiant,28.0,WIN,31:58,Medusa,Bristleback,Batrider,Warlock,Nyx Assassin
11,3,2,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,12.0,LOSE,31:58,Slark,Death Prophet,Oracle,Nature's Prophet,Sand King
12,4,1,ESL One Birmingham  2019,TNC Predator,radiant,23.0,LOSE,51:56,Pangolier,Spectre,Batrider,Earthshaker,Warlock
13,4,1,ESL One Birmingham  2019,Team Liquid,dire,35.0,WIN,51:56,Broodmother,Lycan,Abaddon,Rubick,Sand King
14,4,2,ESL One Birmingham  2019,TNC Predator,radiant,34.0,WIN,42:36,Storm Spirit,Troll Warlord,Batrider,Ancient Apparition,Rubick
15,4,2,ESL One Birmingham  2019,Team Liquid,dire,26.0,LOSE,42:36,Invoker,Omniknight,Nyx Assassin,Lycan,Sand King
16,5,1,ESL One Birmingham  2019,TNC Predator,dire,20.0,LOSE,39:16,Zeus,Ember Spirit,Oracle,Medusa,Sand King
17,5,1,ESL One Birmingham  2019,Vici Gaming,radiant,32.0,WIN,39:16,Spectre,Sniper,Centaur Warrunner,Disruptor,Rubick
18,5,2,ESL One Birmingham  2019,TNC Predator,radiant,27.0,WIN,31:51,Outworld Devourer,Wraith King,Nature's Prophet,Ancient Apparition,Sand King
19,5,2,ESL One Birmingham  2019,Vici Gaming,dire,15.0,LOSE,31:51,Storm Spirit,Troll Warlord,Pangolier,Oracle,Mars
20,6,1,ESL One Birmingham  2019,Newbee,dire,34.0,LOSE,53:20,Ursa,Medusa,Puck,Grimstroke,Sand King
21,6,1,ESL One Birmingham  2019,OG,radiant,46.0,WIN,53:20,Pangolier,Abaddon,Morphling,Lina,Earth Spirit
22,6,2,ESL One Birmingham  2019,Newbee,radiant,4.0,LOSE,14:07,Puck,Morphling,Earthshaker,Death Prophet,Winter Wyvern
23,6,2,ESL One Birmingham  2019,OG,dire,13.0,WIN,14:07,Phantom Lancer,Dark Seer,Ember Spirit,Earth Spirit,Chen
24,7,1,ESL One Birmingham  2019,Newbee,dire,19.0,LOSE,35:29,Slark,Ember Spirit,Dark Seer,Jakiro,Earth Spirit
25,7,1,ESL One Birmingham  2019,Ninjas in Pyjamas,radiant,34.0,WIN,35:29,Omniknight,Batrider,Sven,Nyx Assassin,Warlock
26,7,2,ESL One Birmingham  2019,Newbee,radiant,21.0,LOSE,47:45,Storm Spirit,Necrophos,Drow Ranger,Earth Spirit,Nature's Prophet
27,7,2,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,31.0,WIN,47:45,Zeus,Night Stalker,Tiny,Troll Warlord,Warlock
28,8,1,ESL One Birmingham  2019,Newbee,radiant,18.0,LOSE,31:56,Sniper,Earth Spirit,Troll Warlord,Pudge,Jakiro
29,8,1,ESL One Birmingham  2019,Team Liquid,dire,22.0,WIN,31:56,Drow Ranger,Outworld Devourer,Oracle,Beastmaster,Shadow Shaman
30,8,2,ESL One Birmingham  2019,Newbee,dire,32.0,WIN,30:50,Legion Commander,Kunkka,Morphling,Earth Spirit,Warlock
31,8,2,ESL One Birmingham  2019,Team Liquid,radiant,12.0,LOSE,30:50,Timbersaw,Anti-Mage,Nature's Prophet,Mars,Shadow Shaman
32,9,1,ESL One Birmingham  2019,Newbee,radiant,35.0,LOSE,60:31,Kunkka,Pangolier,Morphling,Lina,Treant Protector
