MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
1,1,Para Bellum 2020 Dota2 Tournament,Army Geniuses,dire,19,WIN,19:42,Puck,Templar Assassin,Monkey King,Abaddon,Snapfire
1,1,Para Bellum 2020 Dota2 Tournament,MS Chonburi,radiant,5,LOSE,19:42,Phantom Lancer,Centaur Warrunner,Outworld Devourer,Earthshaker,Lich
1,2,Para Bellum 2020 Dota2 Tournament,Army Geniuses,radiant,28,WIN,33:38,Meepo,Earthshaker,Abaddon,Monkey King,Lich
1,2,Para Bellum 2020 Dota2 Tournament,MS Chonburi,dire,37,LOSE,33:38,Riki,Storm Spirit,Enchantress,Tiny,Treant Protector
3,1,Para Bellum 2020 Dota2 Tournament,Sterling Global Dragons,dire,32,WIN,34:53,Slardar,Medusa,Disruptor,Ember Spirit,Treant Protector
3,1,Para Bellum 2020 Dota2 Tournament,Neon Esports,radiant,18,LOSE,34:53,Gyrocopter,Shadow Fiend,Clockwerk,Rubick,Lich
3,2,Para Bellum 2020 Dota2 Tournament,Sterling Global Dragons,radiant,27,LOSE,40:39,Monkey King,Centaur Warrunner,Lina,Ember Spirit,Treant Protector
3,2,Para Bellum 2020 Dota2 Tournament,Neon Esports,dire,35,WIN,40:39,Shadow Fiend,Kunkka,Disruptor,Drow Ranger,Undying
3,3,Para Bellum 2020 Dota2 Tournament,Sterling Global Dragons,dire,21,WIN,35:11,Leshrac,Shadow Fiend,Crystal Maiden,Omniknight,Treant Protector
3,3,Para Bellum 2020 Dota2 Tournament,Neon Esports,radiant,14,LOSE,35:11,Batrider,Disruptor,Doom,Phantom Lancer,Lich
4,1,Para Bellum 2020 Dota2 Tournament,Team Oracle,dire,12,LOSE,32:50,Viper,Drow Ranger,Vengeful Spirit,Tiny,Timbersaw
4,1,Para Bellum 2020 Dota2 Tournament,Motivate.Trust Gaming,radiant,48,WIN,32:50,Tinker,Ember Spirit,Doom,Rubick,Lich
4,2,Para Bellum 2020 Dota2 Tournament,Team Oracle,radiant,27,WIN,38:53,Viper,Lifestealer,Abaddon,Ancient Apparition,Tiny
4,2,Para Bellum 2020 Dota2 Tournament,Motivate.Trust Gaming,dire,14,LOSE,38:53,Juggernaut,Outworld Devourer,Centaur Warrunner,Earth Spirit,Lich
4,3,Para Bellum 2020 Dota2 Tournament,Team Oracle,dire,15,LOSE,33:44,Riki,Batrider,Puck,Ancient Apparition,Tiny
4,3,Para Bellum 2020 Dota2 Tournament,Motivate.Trust Gaming,radiant,34,WIN,33:44,Invoker,Bloodseeker,Bane,Rubick,Centaur Warrunner
5,1,Para Bellum 2020 Dota2 Tournament,Army Geniuses,dire,34,WIN,54:16,Gyrocopter,Kunkka,Earthshaker,Abaddon,Lich
